Layer,Name,GEOID,Population,Longitude,Latitude,MCD_2020-2024,MCD_2020-2024_se,EMP_2020-2024,EMP_2020-2024_se,EKW_2024,EKW_2024_se,RITB_2022,RITB_2022_se,EKR_2024,EKR_2024_se,ADI_2023,ADI_2023_se,HDX_2020-2024,HDX_2020-2024_se,INC_2020-2024,INC_2020-2024_se,PCI_2020-2024,PCI_2020-2024_se,POV_2020-2024,POV_2020-2024_se,SLA-S_2020-2024,SLA-S_2020-2024_se
(Indicator name),,,,,,"Medicaid coverage (% of residents), 2020-2024",(Standard error),"Employment-based health insurance (% of residents), 2020-2024",(Standard error),"Walkability Index, 2024",(Standard error),"Transportation burden (percentile), 2022",(Standard error),"Proximity to roads, railways, and airports index, 2024",(Standard error),"Area Deprivation Index, 2023",(Standard error),"Hardship Index (score), 2020-2024",(Standard error),"Median household income, 2020-2024",(Standard error),"Per capita income, 2020-2024",(Standard error),"Poverty rate (% of residents), 2020-2024",(Standard error),"Seniors living alone, 65 and older (% of seniors), 2020-2024",(Standard error)
(Definition),,,,,,"Percent of residents covered by Medicaid, a state-administered health insurance program for residents meeting certain income limits and other eligibility standards that vary by state.",,"Percent of residents covered by health insurance through their employers.",,"A ranking of an area's walkability, based on intersection density, proximity to transit, diversity of businesses, and density of housing. Values range from 1 to 20 with 20 being most walkable",,"A measure of transportation insecurity that takes into account average relative cost and time spent on transportation relative to all other tracts.",,"Percentile rank representing a place's proximity to airports, high-volume roads, and railways. Higher values indicate closer proximity",,"The ADI is a ranking of neighborhoods by socioeconomic disadvantage. It includes factors for the theoretical domains of income, education, employment, and housing quality. It can be used to inform health delivery and policy, especially for the most disadvantaged neighborhood groups. Higher values represent more disadvantage.",,"The Hardship Index is a composite score reflecting hardship in the community (higher values indicate greater hardship). It incorporates unemployment, age dependency, education, per capita income, crowded housing, and poverty into a single score that allows comparison between geographies. It is highly correlated with other measures of economic hardship, such as labor force statistics, and with poor health outcomes. See technical notes for details.",,"Income in the past 12 months.",,"Income in the past 12 months.",,"Percent of residents in families that are in poverty (below the Federal Poverty Level).",,"Percent of residents age 65 and older who live alone. Does not include those living in group homes such as nursing homes.",
(Citation),,,,,,"U.S. Census Bureau - American Community Survey (ACS) (Tables S2704, S2701, and B27010)",,"U.S. Census Bureau - American Community Survey (ACS) (Tables S2703, S2701, and B27010)",,"Agency for Toxic Substances and Disease Registry - Environmental Justice Index",,"Climate Program Portal - Climate & Economic Justice Screening Tool (CEJST) (Data calculated from the U.S. Department of Transportation’s (DOT) mapping tool of Transportation Disadvantaged Communities)",,"Agency for Toxic Substances and Disease Registry - Environmental Justice Index",,"University of Wisconsin School of Medicine and Public Health - Neighborhood Atlas",,"U.S. Census Bureau - American Community Survey (Calculated by Metopio)",,"U.S. Census Bureau - American Community Survey (Table B19013)",,"U.S. Census Bureau - American Community Survey (Table B19301)",,"U.S. Census Bureau - American Community Survey (Table B17001)",,"U.S. Census Bureau - American Community Survey (ACS) (Table B09020)",
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Census tract,Tract 101,17031010100,4905,-87.66983010,42.02125530,19.013912618989504,4.34159447135541,43.32438369538687,5.335312961572549,12.83,,66.0,,72.08,,45.333333333333336,,33.33568538903001,,74145.0,2124.6200607902733,45573.0,4370.820668693009,13.302416402245546,3.806022420443832,45.78947368421053,11.123362172055135
Census tract,Tract 102.01,17031010201,6939,-87.68014840,42.01600770,41.879760609358,5.323599893828001,40.56039173014146,5.066138804354891,15.0,,54.0,,72.08,,62.5,,89.74268510678333,,63056.0,12863.22188449848,31992.0,4163.525835866261,24.70076169749728,5.348417634785214,36.74698795180723,13.066833311322315
Census tract,Tract 102.02,17031010202,2742,-87.67332560,42.01604760,24.247948951686418,6.349725177575818,46.21695533272562,4.028566871886605,15.83,,46.0,,72.08,,63.0,,75.81381127,,53220.0,9038.297872340425,42710.0,5726.44376899696,26.02552415679125,3.19819370075825,30.34188034188034,6.654119441416265
Census tract,Tract 103,17031010300,6305,-87.66653930,42.01594310,18.745467730239305,4.1323388707731095,49.72806381435823,2.1459702083596426,15.04,,64.0,,72.08,,48.75,,48.74047417442845,,73105.0,9765.349544072948,43852.0,4158.054711246201,13.433647570703409,3.4430520318567637,32.73942093541203,7.601417772580439
Census tract,Tract 104,17031010400,5079,-87.65881570,42.00641090,10.56105610561056,5.311180545911673,68.69086908690869,2.9156914835172785,14.5,,59.0,,72.08,,67.0,,13.164455734311789,,54083.0,5612.158054711246,36728.0,4053.495440729483,10.971685971685972,3.0234860691580008,32.659932659932664,8.343519372537093
Census tract,Tract 105.01,17031010501,4206,-87.66395830,42.00941190,20.38730500268962,4.938506763074474,55.54061323292092,3.314332799319583,13.44,,64.0,,72.08,,66.33333333333333,,23.150108194562048,,48833.0,7007.294832826748,45408.0,5463.22188449848,16.030123722431412,2.3355890208106596,20.18348623853211,11.044036414299597
Census tract,Tract 105.02,17031010502,3278,-87.66332730,42.00451730,9.67741935483871,2.6659767514004304,69.90261716372488,6.968634078715864,14.33,,57.0,,72.08,,54.0,,43.505974221469565,,63125.0,6979.331306990882,41263.0,4138.601823708206,18.2875605815832,3.466787231361831,41.39344262295082,10.015362731302485
Census tract,Tract 105.03,17031010503,2565,-87.66312620,42.00032070,29.379760609358,6.11335336192107,45.629307217990565,4.628182753133554,16.08,,57.0,,72.08,,33.0,,70.93094364474551,,32443.0,10350.759878419452,28555.0,3789.057750759878,41.74827711280377,6.316410652789089,61.90476190476191,10.253572110381898
Census tract,Tract 106,17031010600,6225,-87.66768300,42.00627740,13.18506751389992,2.8130725431493677,69.92851469420175,9.033633871964692,14.5,,61.0,,72.08,,53.0,,30.85073854548876,,72500.0,12130.699088145897,43955.0,3167.173252279635,16.330420969023034,4.448230611772231,32.240437158469945,11.472554806978556
Census tract,Tract 107.01,17031010701,3673,-87.67862040,42.00914820,10.667050028752156,2.3567073322130474,57.791834387579065,2.1919755500390643,12.83,,64.0,,72.08,,41.0,,50.608006397591495,,74813.0,11114.893617021276,57217.0,17463.22188449848,10.322024151811386,2.9409851237996576,17.83783783783784,3.478174955383175
Census tract,Tract 107.02,17031010702,4776,-87.67272570,42.00901990,27.71264122788318,5.887152737710276,47.75101257727564,7.229135478644771,15.12,,57.0,,72.08,,67.0,,78.01298334744567,,61724.0,4465.045592705167,32790.0,2927.659574468085,14.41251056635672,5.893244152821039,63.934426229508205,12.55167436271831
Census tract,Tract 201,17031020100,4202,-87.68711690,42.01572100,26.833373407069004,6.584564446738314,40.25006011060351,7.800682912441578,13.92,,47.0,,72.08,,56.5,,73.74517828582181,,64904.0,12682.674772036475,34005.0,4198.176291793313,18.225534984371244,5.70698645619919,28.510638297872344,8.080945761808444
Census tract,Tract 202,17031020200,7128,-87.69951910,42.01569030,23.69636963696369,4.396024504928591,55.24752475247525,6.728266265737464,16.17,,23.0,,72.08,,29.75,,71.42487534104808,,120625.0,8999.392097264437,45854.0,4626.13981762918,4.9966953073364175,1.4418553681084256,9.369817578772803,4.162526316643336
Census tract,Tract 203.01,17031020301,5261,-87.70518650,42.00686510,13.385668276972623,4.0322528757839455,58.37359098228664,5.303287601897698,14.11,,26.0,,55.76,,47.333333333333336,,67.21116756044783,,78385.0,12485.714285714286,48617.0,5659.574468085107,14.55314009661836,4.727385379586177,57.8386605783866,9.529747400395872
Census tract,Tract 203.02,17031020302,5010,-87.69496340,42.00854060,23.790492217080352,4.38838828062979,57.9091291543963,9.647982133502625,14.72,,47.0,,64.09,,44.666666666666664,,64.48395898014864,,71250.0,7423.100303951368,47333.0,7849.848024316109,12.875900042354935,3.1791299791816283,30.751708428246012,6.501619775860513
Census tract,Tract 204,17031020400,4435,-87.68591180,42.00848800,20.53345596688894,3.510351544758466,48.76983214532076,5.320570116694498,13.5,,51.0,,72.08,,39.0,,60.885313764229934,,73790.0,15840.121580547113,44687.0,5499.088145896657,13.934237755805931,3.8215749965067105,26.73611111111111,6.681980943565033
Census tract,Tract 205,17031020500,6599,-87.68419820,42.00131290,45.71473502122975,2.9816179882431544,23.87167793678251,5.8457458271853575,14.96,,40.0,,72.08,,76.0,,91.47850221093236,,37819.0,18539.20972644377,24127.0,3094.224924012158,45.321591445195786,7.952604937448156,34.18604651162791,6.902235798622838
Census tract,Tract 206.01,17031020601,6699,-87.70180250,42.00087460,45.07895996171638,7.652741734845374,31.75945126814484,5.697261464106487,15.11,,31.0,,22.71,,50.0,,92.38404365415371,,64127.0,5644.376899696049,29833.0,3694.8328267477204,32.58337322482846,5.10155306875792,33.524684270952925,11.730681943690072
Census tract,Tract 206.02,17031020602,4662,-87.69363730,42.00131560,24.791144527986635,5.242189401143863,56.57894736842105,10.860663583460571,13.38,,73.0,,61.13,,30.5,,68.01321855301534,,89663.0,22683.8905775076,38748.0,4384.19452887538,19.632414369256477,2.558592608736371,25.23489932885906,6.650049048665188
Census tract,Tract 207.01,17031020701,1879,-87.70368970,41.98689150,6.334841628959276,2.14378254283407,63.009049773755656,5.54607374643851,16.33,,13.0,,22.71,,26.0,,33.71907046758867,,108568.0,10485.106382978724,60896.0,8510.63829787234,8.314479638009049,4.9775149932007725,36.965811965811966,17.082164529187924
Census tract,Tract 207.02,17031020702,7717,-87.70489390,41.99412560,32.46457489878543,4.241501676554881,48.2667004048583,11.59322845291781,14.75,,62.0,,22.71,,62.0,,87.08251011383949,,63906.0,10745.896656534955,27761.0,2094.224924012158,15.638121898460364,4.064894369746845,9.683098591549296,5.2789184929802335
Census tract,Tract 208.01,17031020801,5648,-87.69441490,41.98680810,17.573143285821455,4.783268232974063,40.4913728432108,3.050374347476528,14.54,,77.0,,57.94,,35.5,,45.38879480666102,,74931.0,15764.741641337387,37778.0,3844.3768996960484,8.195798949737435,2.2035560286394067,22.08237986270023,7.27615255995539
Census tract,Tract 208.02,17031020802,7546,-87.69463060,41.99405920,42.53989510099319,7.9234100108588335,29.98549269054793,3.6340946546521167,14.5,,73.0,,57.83,,36.75,,93.66591400884371,,68725.0,7710.030395136778,22497.0,2682.674772036474,22.99261910087229,7.258515403978119,25.68149210903874,8.780098944515776
Census tract,Tract 209.01,17031020901,5848,-87.68547360,41.99439220,41.91176470588236,6.039791910441819,42.391304347826086,3.8904595793354435,13.22,,77.0,,72.08,,70.0,,85.28789162,,56291.0,5240.729483282675,28005.0,2939.209726443769,18.765984654731454,5.893882506267679,18.89400921658986,10.018878964883402
Census tract,Tract 209.02,17031020902,4488,-87.67868410,41.99425850,33.564879133092525,6.407594356833829,30.81411503195332,6.4779143006647235,14.5,,71.0,,72.08,,88.5,,81.45521685953523,,45547.0,9012.158054711246,26315.0,2869.908814589666,24.006668519033063,7.017178883702561,24.81977342945417,6.961753642019197
Census tract,Tract 301.01,17031030101,3687,-87.65487900,41.99105380,33.14366998577525,6.855878844266131,42.475106685633,3.3808415684958555,12.83,,70.0,,72.08,,61.0,,77.31324677768369,,48929.0,11221.884498480244,41209.0,3489.969604863222,16.24466571834993,4.2645230178491005,61.18935837245696,15.223557803339919
Census tract,Tract 301.02,17031030102,3121,-87.65502250,41.99302640,20.885323826500297,9.06462926888292,46.79144385026738,2.2049028787214207,11.61,,71.0,,72.08,,60.333333333333336,,48.41353843259008,,59826.0,4711.854103343465,47653.0,5917.325227963525,24.80689245395128,6.333968597207182,26.25169147496617,11.174004731469443
Census tract,Tract 301.03,17031030103,2104,-87.65515270,41.99552410,11.397748592870544,3.2831990543458263,59.8968105065666,4.332265331543608,12.08,,71.0,,72.08,,68.5,,64.76385360805344,,49545.0,10249.848024316108,46363.0,13224.316109422492,25.426039536468988,6.3192866520531945,56.17283950617284,12.069334250533851
Census tract,Tract 301.04,17031030104,3521,-87.65598640,41.99727730,4.152823920265781,1.2060794565895046,65.50387596899225,5.668791249837984,8.58,,96.00000000000001,,72.08,,88.0,,73.30769592623953,,41823.0,6465.65349544073,21169.0,2903.951367781155,25.394235997824904,3.693094309417574,47.43935309973046,7.962203588292047
Census tract,Tract 302,17031030200,5627,-87.66523000,41.99444140,4.2170756999654335,1.6145048036851402,64.63878326996198,9.397876241040175,16.0,,50.0,,72.08,,25.75,,14.309906858594411,,108466.0,11432.826747720364,72224.0,10510.63829787234,14.949879018320084,4.849710597420408,31.906077348066297,6.649328307571062
Census tract,Tract 303,17031030300,3148,-87.67253480,41.99438750,20.50067658998647,4.1523402291029825,46.44790257104195,4.142288821723245,14.83,,54.0,,72.08,,50.0,,37.88103302286198,,68933.0,12718.54103343465,52157.0,7648.024316109422,15.663058186738835,3.7463640206882785,36.33156966490299,13.853388341474298
Census tract,Tract 304,17031030400,2597,-87.67207880,41.98695150,11.045655375552284,2.8867935241732,64.39617083946982,5.051339878724292,16.5,,43.0,,72.08,,25.0,,22.27984758679085,,98909.0,9791.489361702128,69586.0,6218.237082066869,14.653902798232696,5.6290668797479135,38.582677165354326,9.341481345616275
Census tract,Tract 305,17031030500,6183,-87.66493590,41.98722600,3.3834586466165413,1.2672552303829447,75.72055137844612,3.492156195621664,15.29,,51.0,,72.08,,35.0,,5.368567127669583,,127055.0,6776.29179331307,70375.0,4529.4832826747715,6.030701754385965,1.9429052379896397,13.911620294599016,5.068378834563164
Census tract,Tract 306.01,17031030601,3293,-87.65460870,41.98897160,24.084621643612696,1.5151616047499867,53.07838350962842,9.759717400551274,11.28,,76.0,,72.08,,59.0,,71.59775143475397,,52917.0,8083.890577507599,35693.0,4595.136778115501,18.63169280692266,2.92569352370678,55.6935817805383,10.865251210593193
Census tract,Tract 306.03,17031030603,2045,-87.65839790,41.98547620,20.59118236472946,6.280506000654421,64.07815631262524,6.174431453153648,10.58,,74.0,,72.08,,54.5,,54.52182707686518,,49674.0,8623.70820668693,47670.0,6334.954407294833,26.115618661257606,9.047063348508878,86.99186991869918,22.154651551075414
Census tract,Tract 306.04,17031030604,3737,-87.65245460,41.98587070,15.857188806690251,4.72544268390649,59.11868768092634,5.5837426579673775,10.86,,74.35449448780521,,72.08,,63.0,,41.43381315269546,,51688.0,8285.106382978724,49365.0,4481.458966565349,21.38951431328401,4.724079585641379,62.05479452054794,11.432491651177557
Census tract,Tract 307.01,17031030701,1671,-87.65796590,41.98274530,21.872659176029963,3.701976799324369,54.53183520599251,4.871163517082244,12.67,,69.0,,72.08,,52.0,,70.12771662432966,,44948.0,8500.911854103344,39124.0,3584.19452887538,27.21849366144668,5.145538408436587,30.25477707006369,4.671190525031759
Census tract,Tract 307.02,17031030702,2318,-87.65452860,41.98081480,16.282491417361452,3.784152573365175,53.40853359489947,7.802806537560896,12.46,,71.15248220658643,,72.08,,71.0,,75.55273308871953,,60603.0,8846.808510638299,58249.0,4886.322188449848,20.74546346248161,4.720000286782342,71.33655394524959,9.31326212933921
